Actual Price,Predicted Price (Random Forest)
152595,157772.52
130826,132870.93
223951,222451.19
240260,251771.73
393294,388683.86
136418,136619.1
189132,197733.7
314051,314098.2
607614,602700.7
280501,299544.53
296041,285889.96
172955,173725.25
218947,221432.83
410397,404679.11
75939,81311.39
230185,233442.93
477958,505042.71
370139,354313.24
193666,200897.83
278128,271405.65
77026,81199.61
293678,299924.08
351132,321094.74
235364,235317.3
260893,250664.42
400387,361939.54
414254,413807.83
336843,355920.97
259868,275223.67
301769,302737.53
572398,554559.53
270345,263843.52
115161,115642.08
713365,711256.6
181787,206498.88
117137,116175.08
430231,440798.16
181826,204875.92
228020,221484.11
462278,463513.79
310984,311250.34
445612,474784.71
525723,569139.9033333333
545516,540836.56
663613,648360.59
133089,132230.95
410743,400764.74
315069,326157.77
220346,220724.78
347870,335969.23
153740,142213.21
235926,237383.45
249164,252731.88
128130,133068.38
320239,310580.0
203051,215567.99
925955,950196.58
54612,55727.41
70211,74008.11
187768,187774.11
228971,225721.47
448991,495295.61
1394421,1359433.99
309377,317638.28
432272,433625.58
272416,299381.31
150038,149499.1
553908,520211.08
121970,141588.42
246706,247680.02
439009,415554.74
290221,298865.03
337626,397199.16
226229,233299.96
246955,242652.93
411017,417758.33
173738,236209.9533333333
328421,314622.93
130619,138537.65
166798,157337.4
383888,374023.12
245870,247505.8
417893,415504.56
203088,205675.23
52419,55162.09
150552,142001.35
113298,119359.72
817464,852538.76
170565,183511.04
134008,134425.48
668546,647356.62
211745,208474.1
80698,78516.82
652264,649390.16
157757,156478.26
468584,441583.34
289574,325214.18
278967,272653.94
131743,129548.26
859065,841855.34
219804,232349.44
139668,142895.47
294295,295870.34
336604,318145.61
535060,538284.56
235653,230759.85
264492,284215.49
315289,322558.29
273061,268504.88
355830,378371.12
215853,219512.81
233852,234961.43
257539,255019.26
178555,180715.97
77357,73052.88
158905,145427.21
189793,187295.38
190916,201236.65
267393,275792.19
410459,398220.89
762769,758990.72
332255,337653.97
145626,143582.11
200825,202295.19
402928,398523.7
245600,243839.06
184354,182037.75
312911,284280.8
469516,485410.03
466114,454870.67
105135,105308.28
200628,320405.03
295522,306155.75
164204,164693.02
322278,330590.63
272482,270943.73
117832,113617.5
350783,351168.27
160895,163115.68
128570,130325.97
204325,200828.74
323469,312663.3
178412,178306.11
397353,385626.49
351142,336616.22
61271,58641.62
288680,273050.23
190795,191551.61
284029,286810.44
371040,368941.98
418403,418352.81
242238,243907.85
220454,219504.71
1122471,1114468.49
258846,253955.19
373092,369771.27
228926,233904.98
472397,434435.835
258061,260439.12
322226,321027.92
359625,347322.24
271151,269565.78
172572,176490.41
126997,129267.88
667866,656288.04
364624,369154.32
196204,193087.05
272049,272276.97
484647,485838.39
147674,141022.92
116408,111989.81
262006,272993.75
142690,136867.92
566764,572045.3
168871,168401.15
147483,143557.88
249620,253213.9
979436,843987.66
426693,425092.55
292515,293885.19
257111,257518.69
266373,261317.13
531315,517514.88
260017,257197.95
111665,98525.67
504332,502291.72
460121,392920.14
219389,211648.62
129642,130953.05
241601,251749.21
200784,199481.18
1344311,1363689.48
309910,328605.1
379542,391296.37
123808,131653.77
137121,139738.88
431644,436812.16
277577,270792.28
353110,350714.0
261903,266768.03
279484,271001.47
163631,164844.39
185613,206516.92
335900,337620.4
262106,242445.34
122775,123355.13
429859,437566.91
437382,449852.79
846354,856035.56
206206,214348.38
435061,431391.79
268249,277246.52
164849,160554.7
447423,418677.95
574962,564740.79
605763,599689.51
486068,486464.92
203917,203650.89
166075,161525.06
419732,415693.76
178969,179197.12
121318,121905.8
166303,164974.93
261645,277175.192
365400,367058.84
200544,212485.52
170834,179848.79
547196,538125.81
639200,648236.17
200141,198297.35
337575,337968.09
213422,210235.3
635376,622552.34
189355,188125.93
309069,308668.38
457791,438630.71
285106,275507.57
315910,337263.16
154459,157772.52
276014,284864.22
454415,441868.08
223029,221792.38
143597,146247.28
136369,136217.38
288682,281047.75
365096,366094.24
298161,299081.76
